text,label
国足在世预赛中击败日本队晋级,体育
CBA联赛广东队获得总冠军,体育
NBA季后赛湖人队逆转晋级,体育
中国女排在世界联赛中取得连胜,体育
全红婵在跳水世界杯中获得金牌,体育
巴黎奥运会中国代表团创历史最佳成绩,体育
乒乓球世界杯马龙再次夺冠,体育
中超联赛广州队主场大胜,体育
中国游泳队在亚运会获得多枚金牌,体育
冬奥会短道速滑中国队获得接力金牌,体育
皇马欧冠决赛击败利物浦夺冠,体育
中国女足亚洲杯夺冠引发热议,体育
网球大满贯中国选手首次闯入四强,体育
马拉松世界纪录在柏林被打破,体育
电竞选手在亚运会英雄联盟项目中获得金牌,体育
中国男篮在世界杯中取得关键胜利,体育
英超联赛曼城提前锁定冠军,体育
中国选手在田径世锦赛中获得百米奖牌,体育
花样滑冰世锦赛中国组合获得银牌,体育
斯诺克大师赛丁俊晖击败奥沙利文,体育
日本足球联赛引入新外援引发关注,体育
中国羽毛球队在苏迪曼杯实现卫冕,体育
举重世锦赛中国队获得多项冠军,体育
中国选手在击剑世界杯中获得金牌,体育
温布尔登网球公开赛新星崛起,体育
杭州亚运会筹备工作进入最后阶段,体育
中超联赛引入VAR技术引发争议,体育
中国跆拳道队在世锦赛中获得突破,体育
自行车环法赛中国选手首次参赛,体育
美国职业拳击重量级冠军易主,体育
中国女子冰壶队在世锦赛中获得铜牌,体育
滑雪世界杯中国选手获得银牌,体育
中国柔道队在大奖赛中获得两金,体育
英超利物浦主帅宣布赛季末离任,体育
中国选手在艺术体操世锦赛中获得佳绩,体育
世界田径锦标赛百米飞人大战精彩纷呈,体育
中国武术队在世锦赛中获得多项冠军,体育
NBA选秀大会中国球员被选中,体育
世界拳击协会认证新科冠军,体育
中国马术队在亚运会中获得突破,体育
法国网球公开赛纳达尔宣布退役,体育
中国射击队在世界杯中获得三金,体育
世界游泳锦标赛中国花样游泳队摘银,体育
中国赛艇队在世锦赛中获得金牌,体育
亚洲杯足球赛中国队小组出线,体育
中国选手在攀岩世界杯中获得冠军,体育
世界羽毛球锦标赛中国队获得两金,体育
中国女子篮球队在亚洲杯中获得冠军,体育
高尔夫大师赛中国选手并列第三,体育
中国跆拳道队在奥运资格赛中全胜,体育
世界排球联赛中国男排获得历史最佳战绩,体育
中国自行车队在场地世锦赛中获得金牌,体育
美国职业摔角娱乐赛吸引全球观众,体育
中国女子曲棍球队在世界杯中进入八强,体育
世界短池游泳锦标赛中国选手破纪录,体育
中国现代五项队在世锦赛中获得突破,体育
欧洲足球五大联赛转会市场动态,体育
中国选手在铁人三项世界杯中获得佳绩,体育
世界体操锦标赛中国男团获得银牌,体育
中国女子水球队在亚运会中卫冕,体育
极限运动滑板世锦赛中国选手参赛,体育
中华龙舟大赛在端午节期间举行,体育
中国选手在空手道超级联赛中获得金牌,体育
世界田径巡回赛中国选手跳远夺冠,体育
中国女子手球队在亚锦赛中进入决赛,体育
全国青少年足球联赛总决赛落幕,体育
中国选手在摩托艇世锦赛中获得季军,体育
世界武术锦标赛在成都举行,体育
中国选手在射箭世界杯中获得团体金牌,体育
世界冲浪联赛中国选手获得外卡参赛,体育
中国女子橄榄球队在亚洲系列赛中夺冠,体育
全国大学生篮球联赛决赛吸引万人观赛,体育
中国选手在冬季运动世锦赛中获得突破,体育
世界电子竞技大赛中国战队夺冠,体育
中国选手在蹦床世界杯中获得金牌,体育
亚洲田径锦标赛中国队奖牌榜第一,体育
中国选手在帆船世界杯中获得银牌,体育
世界青年足球锦标赛中国队历史性晋级,体育
中国选手在保龄球亚锦赛中获得冠军,体育
世界武术散打锦标赛中国队获得多项冠军,体育
中国选手在泰拳世锦赛中获得金牌,体育
全国速度滑冰锦标赛在哈尔滨举行,体育
中国选手在台球世锦赛中获得亚军,体育
世界龙舟锦标赛中国队获得三金,体育
中国选手在拳击亚锦赛中获得两金,体育
世界青年田径锦标赛中国选手获百米金牌,体育
中国选手在柔术世锦赛中获得突破,体育
全国武术套路锦标赛在少林寺开幕,体育
中国选手在航空模型世锦赛中获得冠军,体育
世界大学生运动会中国代表团取得佳绩,体育
中国选手在拔河世锦赛中获得金牌,体育
世界传统武术节在武当山开幕,体育
中国选手在瑜伽世锦赛中获得亚军,体育
全国攀岩锦标赛在北京举行,体育
中国选手在技巧世锦赛中获得金牌,体育
世界体育舞蹈大赛中国选手进入决赛,体育
中国选手在毽球世锦赛中获得冠军,体育
亚洲青年运动会中国队奖牌榜领先,体育
中国选手在轮滑世锦赛中获得佳绩,体育
世界老将田径锦标赛中国选手参赛,体育
苹果发布M3芯片性能提升显著,科技
华为Mate60搭载自研麒麟芯片回归,科技
特斯拉FSD自动驾驶系统在中国获批测试,科技
SpaceX星舰第五飞成功完成,科技
OpenAI发布GPT-5模型引发行业讨论,科技
英伟达H100 GPU供不应求价格飙升,科技
小米汽车SU7正式交付首批用户,科技
台积电3纳米工艺良率突破90%,科技
微软Copilot全面集成到Office套件,科技
Google发布Gemini多模态AI模型,科技
中国量子计算机九章三号刷新世界纪录,科技
百度文心一言4.0发布支持多模态,科技
阿里巴巴通义千问模型全面开源,科技
宁德时代发布凝聚态电池能量密度创新高,科技
ASML最新光刻机交付中国晶圆厂,科技
字节跳动豆包大模型用户数突破1亿,科技
三星发布首款AI手机Galaxy S24,科技
中国6G技术试验卫星成功发射,科技
比亚迪固态电池研发取得重大突破,科技
腾讯混元大模型在数学推理中表现优异,科技
华为鸿蒙原生应用生态超过5000个,科技
AMD发布MI300X挑战英伟达AI芯片地位,科技
中国脑机接口技术实现猴子意念控制机械臂,科技
高通骁龙8 Gen4采用自研Oryon核心,科技
中国天眼FAST发现新的快速射电暴,科技
联想发布AI PC支持本地大模型运行,科技
华为云发布盘古大模型5.0,科技
中国商用飞机C919获得适航认证,科技
美团无人机配送服务在深圳常态化运营,科技
科大讯飞星火大模型通过图灵测试,科技
英伟达发布Blackwell架构GPU性能翻倍,科技
中国自研操作系统统信UOS装机量突破千万,科技
IBM发布量子计算芯片Condor,科技
大疆发布全新农业植保无人机,科技
中国人工智能芯片企业寒武纪推出新架构,科技
